response_pattern,n,C1_prob,C2_prob,C3_prob,C4_prob
0-0-0-0-1-0-0-0-0,2,0.002,0.004,0,0.993
0-0-0-1-0-1-0-0-0,2,0.023,0.07,0,0.907
0-0-0-1-0-1-0-0-1,2,0.326,0.671,0.003,0
0-0-1-0-0-1-0-1-0,2,0.976,0.013,0,0.011
0-0-1-0-1-1-0-1-1,2,0.899,0.025,0.076,0
0-0-1-1-0-1-0-0-0,2,0.394,0.386,0.001,0.219
0-0-1-1-1-1-0-0-1,2,0.253,0.527,0.22,0
0-1-0-0-0-1-0-1-0,2,0.523,0.128,0,0.349
0-1-0-0-0-1-0-1-1,2,0.855,0.143,0.001,0
0-1-0-0-0-1-1-0-0,2,0.795,0.127,0,0.077
0-1-1-0-0-0-0-0-1,2,0.522,0.478,0,0
0-1-1-0-0-1-0-1-0,2,0.918,0.073,0.001,0.009
0-1-1-0-0-1-1-1-1,2,0.928,0.044,0.028,0
0-1-1-0-1-1-0-1-1,2,0.768,0.131,0.101,0
0-1-1-1-0-1-0-0-0,2,0.133,0.801,0.001,0.065
1-0-0-0-1-0-0-0-0,2,0.001,0.218,0,0.781
1-0-0-0-1-1-0-1-1,2,0.054,0.418,0.528,0
1-0-0-0-1-1-1-1-1,2,0.007,0.043,0.95,0
1-0-0-1-0-0-0-1-0,2,0,0.727,0,0.273
1-0-0-1-1-1-0-0-0,2,0.001,0.958,0.031,0.009
1-0-0-1-1-1-0-0-1,2,0.001,0.852,0.146,0
1-0-0-1-1-1-0-1-1,2,0,0.299,0.701,0
1-0-1-1-0-0-0-1-0,2,0,0.984,0,0.016
1-0-1-1-0-1-0-1-0,2,0.008,0.893,0.099,0.001
1-0-1-1-0-1-1-0-1,2,0.011,0.572,0.417,0
1-0-1-1-0-1-1-1-0,2,0.003,0.342,0.655,0
1-0-1-1-1-1-0-1-0,2,0.001,0.3,0.699,0
1-0-1-1-1-1-1-0-0,2,0.001,0.254,0.745,0
1-0-1-1-1-1-1-0-1,2,0,0.061,0.938,0
1-1-0-0-0-1-0-1-0,2,0.041,0.916,0.003,0.04
1-1-0-1-0-0-0-0-1,2,0,1,0,0
1-1-0-1-0-1-1-0-0,2,0.001,0.992,0.007,0.001
1-1-0-1-0-1-1-1-1,2,0.001,0.672,0.327,0
1-1-0-1-1-0-1-0-1,2,0,1,0,0
1-1-1-0-0-0-1-0-1,2,0.014,0.986,0,0
