sInvented,sProcedural,sConceptual,tInitSelect,tCompare,tDiscussQ,tConnectBigIdeas,tConnectOthers,tPressExplain,condition,seg_num,unit,teacher,groups,C1_prob,C2_prob,C3_prob,C4_prob,class
2,1,2,1,2,2,1,1,1,1,10,3,3190100,whole,0.004,0.096,0.653,0.247,3
2,1,1,1,2,1,1,1,1,1,11,3,3190100,whole,0.724,0.001,0.275,0.001,1
1,1,2,1,1,2,1,1,1,1,1,4,3190100,small_groups,0.096,0.001,0.011,0.892,4
1,2,2,1,1,2,1,1,2,1,2,4,3190100,small_groups,0,0.007,0.043,0.949,4
1,1,2,1,1,2,1,2,1,1,3,4,3190100,small_groups,0.009,0.011,0.013,0.966,4
1,1,2,1,1,2,1,1,2,1,4,4,3190100,small_groups,0,0.004,0.011,0.985,4
1,1,2,1,1,2,1,1,2,1,5,4,3190100,whole,0,0.004,0.011,0.985,4
1,1,2,1,1,2,1,1,2,1,6,4,3190100,small_groups,0,0.004,0.011,0.985,4
1,1,2,1,1,2,1,1,2,1,7,4,3190100,whole,0,0.004,0.011,0.985,4
1,1,2,1,1,2,1,1,2,1,8,4,3190100,whole,0,0.004,0.011,0.985,4
1,1,2,1,1,2,1,1,1,1,9,4,3190100,whole,0.096,0.001,0.011,0.892,4
2,1,1,2,1,2,1,1,2,1,1,1,3080300,seat,0,0.026,0.968,0.006,3
2,2,1,2,1,2,2,1,2,1,2,1,3080300,whole,0,0.25,0.747,0.003,3
2,1,1,1,2,2,1,1,2,1,3,1,3080300,whole,0,0.104,0.782,0.114,3
2,2,2,1,2,2,2,1,2,1,4,1,3080300,seat,0,0.847,0.117,0.036,2
2,2,2,2,1,2,2,1,2,1,5,1,3080300,whole,0,0.587,0.407,0.005,2
2,2,1,1,2,2,1,1,2,1,6,1,3080300,whole,0,0.059,0.909,0.032,3
2,1,1,1,2,2,1,2,2,1,7,1,3080300,whole,0,0.529,0.417,0.054,2
2,1,2,1,1,2,2,1,2,1,8,1,3080300,whole,0,0.295,0.149,0.556,4
1,2,2,1,2,2,2,1,2,1,9,1,3080300,whole,0,0.573,0.017,0.409,2
2,2,1,2,1,2,2,1,1,1,10,1,3080300,whole,0.005,0.078,0.914,0.004,3
1,1,1,1,1,1,1,1,1,1,11,1,3080300,whole,1,0,0,0,1
2,2,1,1,1,1,1,1,1,1,1,2,3080300,small_groups,0.903,0,0.097,0,1
2,2,2,1,1,1,1,1,1,1,2,2,3080300,small_groups,0.364,0,0.631,0.004,3
2,2,2,1,1,1,2,1,2,1,3,2,3080300,small_groups,0.001,0.056,0.924,0.019,3
2,1,2,1,2,2,2,1,1,1,4,2,3080300,whole,0,0.636,0.168,0.195,2
2,2,2,1,2,2,2,2,2,1,5,2,3080300,whole,0,0.982,0.014,0.004,2
2,2,2,1,2,2,2,2,2,1,6,2,3080300,whole,0,0.982,0.014,0.004,2
2,2,2,1,2,2,2,1,2,1,7,2,3080300,whole,0,0.847,0.117,0.036,2
2,2,1,1,2,2,2,1,2,1,8,2,3080300,whole,0,0.603,0.359,0.038,2
2,2,2,1,2,2,2,1,2,1,9,2,3080300,small_groups,0,0.847,0.117,0.036,2
2,2,2,1,2,2,2,2,2,1,10,2,3080300,small_groups,0,0.982,0.014,0.004,2
2,2,2,1,2,2,2,2,2,1,11,2,3080300,whole,0,0.982,0.014,0.004,2
1,1,2,1,1,2,1,1,1,1,1,3,3080300,whole,0.096,0.001,0.011,0.892,4
1,2,2,1,1,1,1,1,1,1,2,3,3080300,small_groups,0.969,0,0.021,0.01,1
1,2,1,1,1,1,1,1,1,1,3,3,3080300,small_groups,0.998,0,0.001,0,1
2,2,2,1,1,2,1,1,2,1,4,3,3080300,whole,0,0.028,0.754,0.217,3
2,1,2,1,1,2,1,1,2,1,5,3,3080300,whole,0,0.033,0.437,0.53,4
2,2,2,1,1,2,1,1,2,1,6,3,3080300,whole,0,0.028,0.754,0.217,3
2,2,2,2,1,2,2,1,2,1,7,3,3080300,whole,0,0.587,0.407,0.005,2
1,2,2,1,1,2,2,1,2,1,8,3,3080300,whole,0,0.06,0.014,0.926,4
1,2,2,1,1,2,1,1,1,1,9,3,3080300,whole,0.071,0.002,0.045,0.883,4
1,2,2,1,1,2,1,1,1,1,10,3,3080300,whole,0.071,0.002,0.045,0.883,4
1,1,2,1,1,2,1,1,1,1,11,3,3080300,whole,0.096,0.001,0.011,0.892,4
1,1,1,1,1,1,1,1,1,1,12,3,3080300,whole,1,0,0,0,1
1,2,2,1,1,2,1,1,2,1,1,4,3080300,whole,0,0.007,0.043,0.949,4
2,2,1,2,1,2,1,1,2,1,2,4,3080300,small_groups,0,0.013,0.986,0.001,3
2,2,2,1,1,2,1,1,2,1,3,4,3080300,small_groups,0,0.028,0.754,0.217,3
2,2,2,1,1,2,1,1,2,1,4,4,3080300,whole,0,0.028,0.754,0.217,3
2,2,1,1,1,2,1,1,2,1,5,4,3080300,small_groups,0.001,0.008,0.901,0.09,3
2,2,1,1,1,2,1,1,2,1,6,4,3080300,small_groups,0.001,0.008,0.901,0.09,3
2,2,1,1,1,2,1,1,2,1,7,4,3080300,small_groups,0.001,0.008,0.901,0.09,3
2,2,1,1,1,2,1,1,2,1,8,4,3080300,small_groups,0.001,0.008,0.901,0.09,3
2,2,1,1,1,2,1,1,2,1,9,4,3080300,small_groups,0.001,0.008,0.901,0.09,3
2,2,2,1,1,2,1,1,2,1,10,4,3080300,small_groups,0,0.028,0.754,0.217,3
2,2,1,2,1,2,1,1,2,1,11,4,3080300,small_groups,0,0.013,0.986,0.001,3
2,2,1,1,1,2,1,1,1,1,12,4,3080300,small_groups,0.228,0.002,0.707,0.064,3
2,2,1,1,1,2,1,1,2,1,13,4,3080300,small_groups,0.001,0.008,0.901,0.09,3
2,2,2,1,1,2,2,1,2,1,14,4,3080300,small_groups,0,0.339,0.35,0.311,3
1,1,1,1,1,1,1,1,1,1,15,4,3080300,whole,1,0,0,0,1
2,1,1,2,2,2,2,2,2,1,1,1,1050200,whole,0,0.98,0.02,0,2
2,1,2,2,2,2,2,2,2,1,2,1,1050200,whole,0,0.995,0.005,0,2
2,1,2,2,2,2,2,2,2,1,3,1,1050200,whole,0,0.995,0.005,0,2
2,1,2,2,2,2,2,2,2,1,4,1,1050200,whole,0,0.995,0.005,0,2
2,1,2,2,2,2,2,2,2,1,5,1,1050200,whole,0,0.995,0.005,0,2
2,1,2,2,2,2,2,2,2,1,6,1,1050200,small_groups,0,0.995,0.005,0,2
2,2,2,2,2,2,2,2,2,1,7,1,1050200,small_groups,0,0.99,0.01,0,2
2,1,2,2,2,2,2,2,2,1,8,1,1050200,small_groups,0,0.995,0.005,0,2
2,1,2,2,2,2,2,2,2,1,9,1,1050200,small_groups,0,0.995,0.005,0,2
2,1,2,2,2,2,2,2,2,1,10,1,1050200,whole,0,0.995,0.005,0,2
2,1,2,1,1,2,1,1,2,1,4,3,1050200,whole,0,0.033,0.437,0.53,4
2,2,2,1,2,2,1,1,2,1,5,3,1050200,whole,0,0.203,0.725,0.072,3
1,1,1,1,1,1,1,1,1,1,6,3,1050200,whole,1,0,0,0,1
1,2,1,1,1,1,1,1,1,1,1,4,1050200,small_groups,0.998,0,0.001,0,1
1,2,1,1,1,1,1,1,2,1,2,4,1050200,small_groups,0.657,0.001,0.29,0.052,1
1,2,1,1,1,2,1,1,1,1,3,4,1050200,small_groups,0.764,0,0.03,0.206,1
1,2,2,1,1,2,1,1,2,1,4,4,1050200,small_groups,0,0.007,0.043,0.949,4
1,2,2,1,1,2,1,1,2,1,5,4,1050200,small_groups,0,0.007,0.043,0.949,4
1,2,2,1,1,2,1,1,2,1,6,4,1050200,small_groups,0,0.007,0.043,0.949,4
1,2,2,1,1,1,2,1,2,1,7,4,1050200,small_groups,0.018,0.094,0.343,0.545,4
1,2,2,1,1,2,2,1,1,1,8,4,1050200,seat,0.009,0.018,0.016,0.958,4
1,2,2,1,1,2,1,1,2,1,9,4,1050200,small_groups,0,0.007,0.043,0.949,4
1,2,2,1,1,2,2,1,2,1,10,4,1050200,small_groups,0,0.06,0.014,0.926,4
1,2,2,1,1,2,1,1,2,1,11,4,1050200,small_groups,0,0.007,0.043,0.949,4
1,2,2,1,1,2,1,1,2,1,12,4,1050200,small_groups,0,0.007,0.043,0.949,4
1,2,2,1,1,2,1,1,1,1,13,4,1050200,small_groups,0.071,0.002,0.045,0.883,4
